epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7303,0.77402,3.98878,0.39897,0.82153,1.32112,0.99668,0.99669,0.99494,0.82105,0.99573,0.99527,0.99491,0.73591,0.70845,1.30262,0.16395,0.39566,1.3066,0.000664944,0.000664944,0.000664944
2,101.642,0.49644,0.52626,0.11973,0.31073,1.03953,0.98964,0.99461,0.99484,0.81432,0.98729,0.99053,0.99461,0.85261,0.7166,0.7239,0.12335,0.47273,1.27842,0.00131843,0.00131843,0.00131843
3,148.978,0.44755,0.34976,0.09386,0.28459,0.98906,0.99636,0.99527,0.995,0.86785,0.99875,0.9929,0.995,0.9382,0.63185,0.49834,0.11922,0.34573,1.16844,0.00195871,0.00195871,0.00195871
4,195.853,0.40139,0.25404,0.08115,0.2582,0.9468,0.99858,0.99608,0.995,0.88367,0.99858,0.99608,0.995,0.97943,0.59293,0.27615,0.10521,0.3258,1.11803,0.0019406,0.0019406,0.0019406
5,243.393,0.36918,0.2094,0.07157,0.24032,0.91982,0.99811,0.99804,0.99497,0.87552,0.99811,0.99804,0.99497,0.97586,0.58737,0.27516,0.09444,0.31142,1.09812,0.0019208,0.0019208,0.0019208
6,289.778,0.33992,0.17865,0.05296,0.21915,0.89382,0.99856,0.99621,0.995,0.88763,0.99856,0.99621,0.995,0.98316,0.58577,0.2487,0.06882,0.2992,1.12795,0.001901,0.001901,0.001901
7,336.986,0.31947,0.1411,0.03969,0.2076,0.87756,0.99953,0.99858,0.995,0.90344,0.99953,0.99858,0.995,0.98068,0.54498,0.22723,0.05377,0.27877,1.06669,0.0018812,0.0018812,0.0018812
8,383.563,0.29681,0.13778,0.03425,0.19549,0.86084,1,0.99999,0.995,0.89654,0.99953,0.99952,0.995,0.98422,0.55349,0.2059,0.06101,0.2842,1.10143,0.0018614,0.0018614,0.0018614
9,430.403,0.28785,0.12844,0.0314,0.19411,0.85342,0.9981,0.99858,0.995,0.90179,0.99763,0.99811,0.99493,0.98443,0.54035,0.22107,0.04999,0.27651,1.06927,0.0018416,0.0018416,0.0018416
10,477.156,0.27286,0.11491,0.02898,0.18594,0.84293,0.99858,0.99548,0.995,0.87836,0.99858,0.99548,0.995,0.98254,0.60892,0.22089,0.04854,0.30421,1.17993,0.0018218,0.0018218,0.0018218
11,523.7,0.26463,0.09648,0.02726,0.18145,0.83576,0.99791,0.99905,0.995,0.88596,0.99791,0.99905,0.995,0.98873,0.5669,0.16816,0.0488,0.27531,1.11198,0.001802,0.001802,0.001802
12,570.173,0.24856,0.09222,0.02548,0.17181,0.82596,0.99856,0.99953,0.995,0.90269,0.99856,0.99953,0.995,0.98727,0.52118,0.18239,0.04406,0.26403,1.05775,0.0017822,0.0017822,0.0017822
13,616.728,0.2406,0.08404,0.0243,0.16606,0.81982,0.99717,0.9989,0.995,0.89489,0.99717,0.9989,0.995,0.98989,0.58274,0.16295,0.05243,0.27595,1.12632,0.0017624,0.0017624,0.0017624
14,663.642,0.23475,0.08238,0.02357,0.16501,0.8162,0.99855,0.99858,0.995,0.90184,0.99855,0.99858,0.995,0.98968,0.54695,0.16882,0.0447,0.2645,1.0789,0.0017426,0.0017426,0.0017426
15,710.358,0.22806,0.08116,0.02299,0.16058,0.81199,0.99922,0.99905,0.995,0.89595,0.99922,0.99905,0.995,0.99022,0.57475,0.16612,0.05918,0.27001,1.11136,0.0017228,0.0017228,0.0017228
16,757.415,0.21769,0.07383,0.02165,0.15381,0.80615,0.99947,0.99905,0.995,0.90285,0.99947,0.99905,0.995,0.9908,0.55465,0.1423,0.05334,0.26426,1.09298,0.001703,0.001703,0.001703
17,804.021,0.21508,0.07246,0.02055,0.15304,0.80407,0.99858,0.99951,0.995,0.91211,0.99858,0.99951,0.995,0.98935,0.52862,0.16539,0.04688,0.24866,1.09701,0.0016832,0.0016832,0.0016832
18,851.012,0.20319,0.06574,0.01922,0.14746,0.79677,0.99858,0.99934,0.995,0.90045,0.99822,0.99858,0.995,0.98812,0.5671,0.17504,0.04474,0.26692,1.11444,0.0016634,0.0016634,0.0016634
19,897.842,0.19863,0.06449,0.01912,0.14725,0.79436,0.99774,0.99763,0.99499,0.91348,0.99727,0.99716,0.99499,0.99101,0.51136,0.13742,0.04041,0.25249,1.07433,0.0016436,0.0016436,0.0016436
20,944.795,0.19229,0.06437,0.01806,0.14139,0.79114,0.99905,0.99851,0.995,0.91014,0.99858,0.99802,0.99495,0.99115,0.53729,0.15045,0.04166,0.25409,1.08166,0.0016238,0.0016238,0.0016238
21,991.897,0.188,0.06087,0.01727,0.1402,0.78801,0.99905,0.99674,0.995,0.91641,0.99905,0.99674,0.995,0.98619,0.50934,0.19233,0.04212,0.25051,1.08759,0.001604,0.001604,0.001604
22,1038.72,0.1912,0.06635,0.01704,0.14376,0.79017,0.99905,0.99999,0.99495,0.90663,0.99905,0.99999,0.99495,0.98704,0.52124,0.13908,0.05041,0.24866,1.0907,0.0015842,0.0015842,0.0015842
23,1085.63,0.18127,0.05879,0.01627,0.13557,0.78466,1,0.99894,0.995,0.91154,0.99953,0.99847,0.99499,0.98803,0.51423,0.17073,0.04498,0.25283,1.08782,0.0015644,0.0015644,0.0015644
24,1132.05,0.17808,0.05634,0.01584,0.13398,0.78256,0.99993,0.99858,0.995,0.90726,0.99946,0.99811,0.99493,0.98982,0.52252,0.15249,0.04131,0.25577,1.07174,0.0015446,0.0015446,0.0015446
25,1178.81,0.16962,0.05551,0.01523,0.12735,0.77821,0.99905,0.9995,0.995,0.91547,0.99905,0.9995,0.995,0.9911,0.51671,0.12382,0.03946,0.23451,1.09329,0.0015248,0.0015248,0.0015248
26,1225.57,0.17195,0.05311,0.01518,0.13093,0.7801,0.99896,0.99811,0.995,0.91004,0.99896,0.99811,0.995,0.99198,0.52236,0.132,0.04082,0.25461,1.07825,0.001505,0.001505,0.001505
27,1272.21,0.16775,0.05444,0.01416,0.1283,0.77799,0.999,0.99858,0.995,0.91319,0.999,0.99858,0.995,0.9917,0.53043,0.12214,0.0533,0.24676,1.10063,0.0014852,0.0014852,0.0014852
28,1319.03,0.15701,0.0465,0.01375,0.12112,0.77327,0.99905,0.99998,0.995,0.91562,0.99858,0.9995,0.99495,0.99001,0.50206,0.14171,0.04371,0.23358,1.096,0.0014654,0.0014654,0.0014654
29,1366.39,0.15801,0.044,0.01307,0.12265,0.77289,1,0.99892,0.995,0.9118,1,0.99892,0.995,0.99212,0.51716,0.12368,0.0449,0.23924,1.09445,0.0014456,0.0014456,0.0014456
30,1413.43,0.15591,0.0476,0.01344,0.1205,0.77244,0.99811,0.99854,0.99497,0.91625,0.99811,0.99854,0.99497,0.99263,0.51557,0.11976,0.04258,0.23413,1.09689,0.0014258,0.0014258,0.0014258
31,1460.77,0.14996,0.04392,0.01231,0.11607,0.77027,1,0.99902,0.995,0.91731,1,0.99902,0.995,0.99171,0.50449,0.11909,0.04094,0.23585,1.07538,0.001406,0.001406,0.001406
32,1507.5,0.1485,0.04227,0.01196,0.11706,0.76844,0.99993,0.99905,0.995,0.90847,0.99993,0.99905,0.995,0.9917,0.52144,0.1351,0.04461,0.24598,1.11215,0.0013862,0.0013862,0.0013862
33,1554.52,0.14493,0.04378,0.01198,0.11553,0.7671,0.9988,0.99905,0.995,0.91828,0.9988,0.99905,0.995,0.99301,0.50578,0.11408,0.0387,0.23338,1.08059,0.0013664,0.0013664,0.0013664
34,1601.33,0.14437,0.04079,0.01113,0.11571,0.76649,0.99896,0.99858,0.99491,0.912,0.99896,0.99858,0.99491,0.99278,0.50876,0.10563,0.04288,0.23451,1.07953,0.0013466,0.0013466,0.0013466
35,1648.04,0.1448,0.04178,0.01241,0.11551,0.76773,0.99811,0.99896,0.995,0.91628,0.99811,0.99896,0.995,0.99253,0.50534,0.11054,0.04082,0.23768,1.0957,0.0013268,0.0013268,0.0013268
36,1695.15,0.14207,0.03963,0.01144,0.11385,0.76621,0.99858,1,0.99499,0.92325,0.99858,1,0.99499,0.99326,0.47919,0.10559,0.04215,0.22622,1.05596,0.001307,0.001307,0.001307
37,1741.68,0.13621,0.03819,0.01056,0.10912,0.76347,0.99905,0.99905,0.99499,0.91771,0.99905,0.99905,0.99499,0.99242,0.49983,0.11309,0.04022,0.22866,1.07734,0.0012872,0.0012872,0.0012872
38,1789.14,0.13678,0.03985,0.01067,0.11077,0.76361,0.99858,0.99848,0.995,0.92012,0.99858,0.99848,0.995,0.9936,0.49455,0.09628,0.0456,0.23087,1.07883,0.0012674,0.0012674,0.0012674
39,1835.72,0.13166,0.03801,0.00992,0.10717,0.76191,0.99953,0.99922,0.995,0.91823,0.99953,0.99922,0.995,0.99234,0.50282,0.11462,0.05157,0.23761,1.07859,0.0012476,0.0012476,0.0012476
40,1882.48,0.13072,0.03768,0.00946,0.1089,0.76151,1,0.99914,0.995,0.92155,1,0.99914,0.995,0.99274,0.48461,0.10254,0.04655,0.22709,1.07755,0.0012278,0.0012278,0.0012278
